Title,Date
"The Vampire Diaries: Season 4: We'll Always Have Bourbon Street","19/05/2019"
"That '70s Show: Season 3: Backstage Pass","19/05/2019"
"That '70s Show: Season 3: Canadian Road Trip","19/05/2019"
"That '70s Show: Season 3: Eric's Drunken Tattoo","19/05/2019"
"That '70s Show: Season 3: Fez Dates Donna","19/05/2019"
"That '70s Show: Season 3: Holy Craps","19/05/2019"
"The Twilight Saga: Breaking Dawn: Part 1","18/05/2019"
"The Twilight Saga: Eclipse","18/05/2019"
"Twilight","18/05/2019"
"Valentine's Day","18/05/2019"
"Shadowhunters: The Mortal Instruments: Season 1: The Mortal Cup","18/05/2019"
"That '70s Show: Season 3: Eric's Naughty No-No","18/05/2019"
"That '70s Show: Season 3: The Trials of M. Kelso","18/05/2019"
"That '70s Show: Season 3: Kitty's Birthday (That's Today?!)","18/05/2019"
"That '70s Show: Season 3: Romantic Weekend","18/05/2019"
"That '70s Show: Season 3: Donna's Panties","18/05/2019"
"That '70s Show: Season 3: Radio Daze","18/05/2019"
"That '70s Show: Season 3: Fez Gets the Girl","17/05/2019"
"That '70s Show: Season 3: Who Wants it More?","17/05/2019"
"That '70s Show: Season 3: Ice Shack","17/05/2019"
"That '70s Show: Season 3: Hyde's Christmas Rager","17/05/2019"
"That '70s Show: Season 3: Jackie Bags Hyde","17/05/2019"
"That '70s Show: Season 3: Baby Fever","17/05/2019"
"That '70s Show: Season 3: Eric's Panties","17/05/2019"
"That '70s Show: Season 3: Roller Disco","17/05/2019"
"Riverdale: Season 3: Chapter Fifty-Seven: Survive the Night","17/05/2019"
"Dawn of the Planet of the Apes","17/05/2019"
"Jane The Virgin: Season 5: Chapter Eighty-Nine","16/05/2019"
"That '70s Show: Season 3: Too Old to Trick or Treat, Too Young to Die","16/05/2019"
"That '70s Show: Season 3: Hyde's Father","12/05/2019"
"That '70s Show: Season 3: Red Sees Red","12/05/2019"
"Riverdale: Season 3: Chapter Fifty-Six: The Dark Secret of Harvest House","11/05/2019"
"Riverdale: Season 3: Chapter Fifty-Five: Prom Night","11/05/2019"
"Jane The Virgin: Season 5: Chapter Eighty-Eight","10/05/2019"
"Lucy","09/05/2019"
"Our Planet: Season 1: Frozen Worlds","08/05/2019"
"Our Planet: Season 1: One Planet","08/05/2019"
"American Pie 2","08/05/2019"
"Shadowhunters: The Mortal Instruments: Season 3B: All Good Things…","07/05/2019"
"That '70s Show: Season 3: Reefer Madness","06/05/2019"
"That '70s Show: Season 2: Moon Over Point Place","06/05/2019"
"That '70s Show: Season 2: Cat Fight Club","06/05/2019"
"That '70s Show: Season 2: Red Fired Up","05/05/2019"
"That '70s Show: Season 2: Holy Crap!","05/05/2019"
"The Good Place: Season 3: Pandemonium","05/05/2019"
"That '70s Show: Season 2: Jackie Moves On","04/05/2019"
"That '70s Show: Season 2: Kelso's Serenade","03/05/2019"
"That '70s Show: Season 2: Kiss of Death","03/05/2019"
"The Vampire Diaries: Season 4: The Rager","03/05/2019"
"The Vampire Diaries: Season 8: We're Planning a June Wedding","03/05/2019"
"The Vampire Diaries: Season 8: I Was Feeling Epic","03/05/2019"
"Jane The Virgin: Season 5: Chapter Eighty-Seven","03/05/2019"
"The Last Summer","03/05/2019"
"Let's Be Cops","27/04/2019"
"My First First Love: Season 1: Turning Point","27/04/2019"
"My First First Love: Season 1: A Rain Shower","27/04/2019"
"My First First Love: Season 1: Fretting about Someone","27/04/2019"
"The Perfect Date","27/04/2019"
"My First First Love: Season 1: I Need a Room and You Have Many","27/04/2019"
"My First First Love: Season 1: A Close Friend -- Who’s Only Just a Friend","27/04/2019"
"Rush Hour 3","26/04/2019"
"Jane The Virgin: Season 5: Chapter Eighty-Six","26/04/2019"
"You vs. Wild: Season 1: Operation Jungle Rescue, Pt. 2","25/04/2019"
"You vs. Wild: Season 1: Operation Jungle Rescue, Pt. 1","25/04/2019"
"Good Girls: Season 1: Pilot","25/04/2019"
"Bright","24/04/2019"
"Someone Great","23/04/2019"
"Pacific Rim","23/04/2019"
"Monsters vs. Aliens","23/04/2019"
"Power Rangers Mystic Force: Season 1: Broken Spell: Part 1","22/04/2019"
"Chappie","20/04/2019"
"Jane The Virgin: Season 5: Chapter Eighty-Five","18/04/2019"
"Jane The Virgin: Season 5: Chapter Eighty-Four","13/04/2019"
"Jane The Virgin: Season 5: Chapter Eighty-Three","10/04/2019"
"The Spy Who Dumped Me","04/04/2019"
"Click","02/04/2019"
"Isn't It Romantic","02/04/2019"
"The Disappearance of Madeleine McCann: Season 1: The Beneath Truth","02/04/2019"
"That's My Boy","02/04/2019"
"Get Out","31/03/2019"
"On My Block: Season 2: Chapter Twenty","31/03/2019"
"On My Block: Season 2: Chapter Nineteen","30/03/2019"
"On My Block: Season 2: Chapter Eighteen","30/03/2019"
"On My Block: Season 2: Chapter Seventeen","30/03/2019"
"On My Block: Season 2: Chapter Sixteen","30/03/2019"
"On My Block: Season 2: Chapter Fifteen","30/03/2019"
"On My Block: Season 2: Chapter Fourteen","30/03/2019"
"On My Block: Season 2: Chapter Thirteen","30/03/2019"
"Angus, Thongs and Perfect Snogging","30/03/2019"
"On My Block: Season 2: Chapter Twelve","30/03/2019"
"On My Block: Season 2: Chapter Eleven","30/03/2019"
"Brooklyn Nine-Nine: Season 5: Jake & Amy","29/03/2019"
"Brooklyn Nine-Nine: Season 5: White Whale","29/03/2019"
"Brooklyn Nine-Nine: Season 5: Show Me Going","29/03/2019"
"Brooklyn Nine-Nine: Season 5: Bachelor/ette Party","29/03/2019"
"Brooklyn Nine-Nine: Season 5: Gray Star Mutual","29/03/2019"
"Brooklyn Nine-Nine: Season 5: DFW","29/03/2019"
"Brooklyn Nine-Nine: Season 5: NutriBoom","29/03/2019"
"The Umbrella Academy: Season 1: The White Violin","23/03/2019"
"The Umbrella Academy: Season 1: Changes","23/03/2019"
"The Umbrella Academy: Season 1: I Heard a Rumor","23/03/2019"
"The Umbrella Academy: Season 1: Run Boy Run","23/03/2019"
"Brooklyn Nine-Nine: Season 5: The Puzzle Master","23/03/2019"
"Brooklyn Nine-Nine: Season 5: The Box","23/03/2019"
"Brooklyn Nine-Nine: Season 5: The Negotiation","23/03/2019"
"Brooklyn Nine-Nine: Season 5: Safe House","23/03/2019"
"Brooklyn Nine-Nine: Season 5: The Favor","23/03/2019"
"Brooklyn Nine-Nine: Season 5: Game Night","23/03/2019"
"Brooklyn Nine-Nine: Season 5: 99","22/03/2019"
"Brooklyn Nine-Nine: Season 5: Return to Skyfire","22/03/2019"
"After Life: Season 1: Episode 1","20/03/2019"
"Brooklyn Nine-Nine: Season 5: Two Turkeys","18/03/2019"
"Brooklyn Nine-Nine: Season 5: The Venue","18/03/2019"
"Riverdale: Season 3: Chapter Forty-Nine: Fire Walk With Me","18/03/2019"
"Brooklyn Nine-Nine: Season 5: Bad Beat","17/03/2019"
"Brooklyn Nine-Nine: Season 5: HalloVeen","16/03/2019"
"Brooklyn Nine-Nine: Season 5: Kicks","16/03/2019"
"I Feel Pretty","16/03/2019"
"Smurfs: The Lost Village","16/03/2019"
"Johnny English","16/03/2019"
"Turn Up Charlie: Season 1: Episode 1","15/03/2019"
"Scooby-Doo","13/03/2019"
"Brooklyn Nine-Nine: Season 5: The Big House, Pt. 2","08/03/2019"
"Brooklyn Nine-Nine: Season 5: The Big House, Pt. 1","08/03/2019"
"Riverdale: Season 3: Chapter Forty-Eight: Requiem for a Welterweight","07/03/2019"
"Sherlock Gnomes","04/03/2019"
"Imagine That","26/02/2019"
"SMOSH: The Movie","24/02/2019"
"Killer Klowns from Outer Space","24/02/2019"
"The Woman in Black","24/02/2019"
"Wonder","24/02/2019"
"Camp Cool Kids","24/02/2019"
"47 Metres Down","24/02/2019"
"White Chicks","24/02/2019"
"Ride Along","24/02/2019"
"Tomb Raider","24/02/2019"
"Liar Liar","23/02/2019"
"One-Punch Man: Season 1: The Obsessive Scientist","23/02/2019"
"One-Punch Man: Season 1: The Lone Cyborg","23/02/2019"
"One-Punch Man: Season 1: The Strongest Man","23/02/2019"
"Big Daddy","23/02/2019"
"Bad Moms","23/02/2019"
"Benji","23/02/2019"
"Are We There Yet?","23/02/2019"
"Shaun the Sheep Movie","22/02/2019"
"Victorious: Season 1: Wok Star","22/02/2019"
"Little Man","22/02/2019"
"Victorious: Season 1: The Great Ping-Pong Scam","21/02/2019"
"Victorious: Season 3: The Slap Fight","21/02/2019"
"Victorious: Season 3: Crazy Ponnie","21/02/2019"
"Victorious: Season 3: How Trina Got In","21/02/2019"
"Sex Education: Season 1: Episode 8","21/02/2019"
"Victorious: Season 3: Driving Tori Crazy","20/02/2019"
"Victorious: Season 3: The Gorilla Club","20/02/2019"
"Victorious: Season 3: Tori and Jade's Playdate","20/02/2019"
"Sex Education: Season 1: Episode 7","20/02/2019"
"Sex Education: Season 1: Episode 6","20/02/2019"
"Sex Education: Season 1: Episode 5","20/02/2019"
"Sex Education: Season 1: Episode 4","20/02/2019"
"Worst Cooks in America: Season 9: The Final Showdown","19/02/2019"
"Worst Cooks in America: Season 9: Live and Let Dough","18/02/2019"
"Victorious: Season 3: The Blonde Squad","18/02/2019"
"Victorious: Season 3: Wanko's Warehouse","18/02/2019"
"Victorious: Season 3: April Fools Blank","18/02/2019"
"American Horror Story: Coven: The Seven Wonders","18/02/2019"
"American Horror Story: Coven: Go to Hell","18/02/2019"
"Victorious: Season 3: One Thousand Berry Balls","18/02/2019"
"Victorious: Season 3: Star-Spangled Tori","18/02/2019"
"Victorious: Season 3: Brain Squeezers","18/02/2019"
"Victorious: Season 3: Victori-Yes","18/02/2019"
"Victorious: Season 3: The Bad Roommate","18/02/2019"
"Victorious: Season 3: Robbie Sells Rex","18/02/2019"
"Victorious: Season 3: Tori Fixes Beck & Jade","16/02/2019"
"Victorious: Season 3: Three Girls And A Moose","16/02/2019"
"Victorious: Season 3: Cell Block","16/02/2019"
"Victorious: Season 3: Opposite Date","16/02/2019"
"Victorious: Season 3: The Hambone King","15/02/2019"
"American Horror Story: Coven: Protect the Coven","12/02/2019"
"American Horror Story: Coven: The Magical Delights of Stevie Nicks","11/02/2019"
"American Horror Story: Coven: Head","11/02/2019"
"American Horror Story: Coven: The Sacred Taking","11/02/2019"
"American Horror Story: Coven: The Dead","11/02/2019"
"American Horror Story: Coven: The Axeman Cometh","11/02/2019"
"American Horror Story: Coven: Burn, Witch. Burn!","11/02/2019"
"American Horror Story: Coven: Fearful Pranks Ensue","11/02/2019"
"American Horror Story: Coven: The Replacements","11/02/2019"
"American Horror Story: Coven: Boy Parts","10/02/2019"
"American Horror Story: Coven: Bitchcraft","10/02/2019"
"Victorious: Season 3: Car, Rain & Fire","09/02/2019"
"Victorious: Season 3: Andre's Horrible Girl","09/02/2019"
"Victorious: Season 3: The Worst Couple","09/02/2019"
"Victorious: Season 3: The Breakfast Bunch","09/02/2019"
"Victorious: Season 3: A Christmas Tori","09/02/2019"
"Victorious: Season 2: Blooptorious","09/02/2019"
"Victorious: Season 2: Terror on Cupcake Street","09/02/2019"
"Victorious: Season 2: Prom Wrecker","09/02/2019"
"Victorious: Season 2: Ice Cream for Ke$ha","09/02/2019"
"Victorious: Season 2: Beggin' on Your Knees","09/02/2019"
"Victorious: Season 2: Who Did It to Trina?","09/02/2019"
"Victorious: Season 2: Jade Gets Crushed","09/02/2019"
"Victorious: Season 2: Tori Tortures Teacher","09/02/2019"
"Victorious: Season 2: Tori Gets Stuck","09/02/2019"
"Victorious: Season 2: Helen Back Again","09/02/2019"
"Victorious: Season 2: Beck Falls for Tori","09/02/2019"
"Victorious: Season 1: Wi-Fi in the Sky","09/02/2019"
"Victorious: Season 1: Survival of the Hottest","09/02/2019"
"Victorious: Season 1: The Wood","09/02/2019"
"Victorious: Season 1: Sleepover at Sikowitz's","09/02/2019"
"Victorious: Season 1: Cat's New Boyfriend","09/02/2019"
"Victorious: Season 1: The Diddly-Bops","08/02/2019"
"Victorious: Season 1: A Film By Dale Squires","08/02/2019"
"Victorious: Season 1: Robarazzi","08/02/2019"
"Victorious: Season 1: The Birthweek Song","08/02/2019"
"Victorious: Season 1: Jade Dumps Beck","07/02/2019"
"Victorious: Season 1: Tori the Zombie","07/02/2019"
"Victorious: Season 1: Beck's Big Break","07/02/2019"
"Victorious: Season 1: Stage Fighting","07/02/2019"
"Victorious: Season 1: The Bird Scene","07/02/2019"
"Victorious: Season 1: Pilot","07/02/2019"
"Split","06/02/2019"
"Velvet Buzzsaw","03/02/2019"
"Noah","03/02/2019"
"Black Lightning: Season 1: Black Jesus","03/02/2019"
"Sex Education: Season 1: Episode 3","20/01/2019"
"Sex Education: Season 1: Episode 2","20/01/2019"
"Sex Education: Season 1: Episode 1","20/01/2019"
"Functional Fitness","20/01/2019"
"The Good Place: Season 3: Chidi Sees the Time-Knife","18/01/2019"
"The Good Place: Season 3: The Book of Dougs","18/01/2019"
"The Good Place: Season 3: Janet(s)","18/01/2019"
"The Good Place: Season 3: Don't Let the Good Life Pass You By","18/01/2019"
"The Good Place: Season 3: The Worst Possible Use of Free Will","18/01/2019"
"The Good Place: Season 3: A Fractured Inheritance","18/01/2019"
"The Good Place: Season 3: The Ballad of Donkey Doug","17/01/2019"
"The Good Place: Season 3: Jeremy Bearimy","17/01/2019"
"The Good Place: Season 3: The Snowplow","17/01/2019"
"Titans: Season 1: Dick	Grayson","16/01/2019"
"Titans: Season 1: Koriand'r","16/01/2019"
"Titans: Season 1: Hank and	Dawn","16/01/2019"
"Titans: Season 1: Donna Troy","15/01/2019"
"Titans: Season 1: The Asylum","15/01/2019"
"Titans: Season 1: Jason Todd","15/01/2019"
"Titans: Season 1: Together","14/01/2019"
"Titans: Season 1: Doom Patrol","14/01/2019"
"Friends: Season 1: The One Where Monica Gets a Roommate (Pilot)","14/01/2019"
"Titans: Season 1: Origins","13/01/2019"
"Titans: Season 1: Hawk and Dove","13/01/2019"
"Titans: Season 1: Titans","13/01/2019"
"Chris Rock: Tamborine","06/01/2019"
"Jimmy Carr: Funny Business","06/01/2019"
"You: Season 1: Pilot","05/01/2019"
"Russell Howard: Recalibrate","04/01/2019"
"Lionheart","04/01/2019"
"A Million Ways to Die in the West","02/01/2019"
"Stealth","02/01/2019"
"Worst Cooks in America: Season 9: Hollywood Goes Bollywood","02/01/2019"
"Black Mirror: Bandersnatch","01/01/2019"
"Worst Cooks in America: Season 9: Celebrity Cheat Meals","01/01/2019"
"Worst Cooks in America: Season 9: Oktoberfest Feast","01/01/2019"
"Passengers","01/01/2019"
"Worst Cooks in America: Season 9: BOOOOT Camp!","01/01/2019"
"Dumplin'","01/01/2019"
"Worst Cooks in America: Season 9: Hawaiian Pig and a Poke","31/12/2018"
"Worst Cooks in America: Season 9: Celebrity Dish-asters","31/12/2018"
"Riddick","23/12/2018"
"Charlie and the Chocolate Factory","23/12/2018"
"How to Be Single","21/12/2018"
"Set It Up","18/12/2018"
"The Redeemed and the Dominant: Fittest on Earth","18/12/2018"
"Fittest on Earth: A Decade of Fitness","17/12/2018"
"Arthur Christmas","12/12/2018"
"Mowgli: Legend of the Jungle","10/12/2018"
"The Last Kingdom: Season 1: Episode 3","10/12/2018"
"The Last Kingdom: Season 1: Episode 2","10/12/2018"
"The Fresh Prince of Bel-Air: Season 1: Not with My Pig, You Don't","09/12/2018"
"The Fresh Prince of Bel-Air: Season 1: Clubba Hubba","09/12/2018"
"The Fresh Prince of Bel-Air: Season 1: Bang the Drum, Ashley","09/12/2018"
"The Fresh Prince of Bel-Air: Season 1: The Fresh Prince Project","09/12/2018"
"The Last Kingdom: Season 1: Episode 1","07/12/2018"
"The Interview","07/12/2018"
"We're the Millers","05/12/2018"
"Kill Bill: Vol. 1","04/12/2018"
"The Christmas Chronicles","30/11/2018"
"Rogue One: A Star Wars Story","29/11/2018"
"The Perfect Physique","11/11/2018"
"Brain Games: Season 2: Don't Be Afraid","29/10/2018"
"Brain Games: Season 2: Motion Commotion","29/10/2018"
"Brain Games: Season 2: It's About Time","29/10/2018"
"Brain Games: Season 2: Focus Pocus","29/10/2018"
"We, the Marines","28/10/2018"
"Generation Iron 2","28/10/2018"
